text_id,GPEs,neg,neu,pos,compound
290,,0.136,0.545,0.318,0.4588
291,,0.487,0.513,0.0,-0.6908
293,,0.0,1.0,0.0,0.0
296,['South Africa'],0.53,0.47,0.0,-0.7845
297,['Iraq'],0.535,0.465,0.0,-0.3182
298,,0.0,0.776,0.224,0.3818
299,"['Iowa', 'New Hampshire']",0.0,0.69,0.31,0.3818
300,,0.167,0.833,0.0,-0.25
302,,0.268,0.732,0.0,-0.5106
304,,0.0,1.0,0.0,0.0
306,,0.263,0.57,0.167,-0.4939
307,,0.355,0.645,0.0,-0.5106
308,,0.0,0.66,0.34,0.5574
310,,0.0,1.0,0.0,0.0
311,,0.0,1.0,0.0,0.0
312,['Iran'],0.089,0.674,0.236,0.5586
317,,0.0,1.0,0.0,0.0
318,,0.0,1.0,0.0,0.0
319,,0.0,0.787,0.213,0.4019
320,,0.0,1.0,0.0,0.0
324,,0.223,0.777,0.0,-0.3182
326,['America'],0.359,0.641,0.0,-0.6808
327,,0.0,0.494,0.506,0.6271
329,,0.0,0.795,0.205,0.2023
330,,0.0,1.0,0.0,0.0
332,,0.18,0.82,0.0,-0.296
336,,0.0,0.847,0.153,0.2023
337,,0.0,0.503,0.497,0.836
340,,0.268,0.732,0.0,-0.296
344,,0.248,0.752,0.0,-0.5106
345,,0.252,0.748,0.0,-0.6597
346,,0.0,0.885,0.115,0.0772
348,,0.18,0.82,0.0,-0.296
349,,0.156,0.649,0.195,0.1531
350,['Haiti'],0.194,0.576,0.23,0.128
351,,0.273,0.625,0.102,-0.4588
352,,0.385,0.615,0.0,-0.3612
353,,0.0,1.0,0.0,0.0
354,,0.0,0.5,0.5,0.875
356,,0.0,1.0,0.0,0.0
357,,0.367,0.633,0.0,-0.4404
359,,0.0,1.0,0.0,0.0
360,,0.21,0.617,0.173,-0.1531
363,,0.0,1.0,0.0,0.0
364,,0.296,0.704,0.0,-0.2732
366,['U.S.'],0.0,1.0,0.0,0.0
367,['Vermont'],0.402,0.467,0.131,-0.5994
371,['Ferguson'],0.231,0.769,0.0,-0.2023
373,,0.0,1.0,0.0,0.0
374,,0.154,0.671,0.174,0.0772
376,,0.0,1.0,0.0,0.0
377,,0.138,0.582,0.28,0.4019
380,['Paris'],0.55,0.45,0.0,-0.7269
382,['Charleston'],0.0,1.0,0.0,0.0
383,['Florida'],0.0,1.0,0.0,0.0
386,"['Drudge', 'Koch']",0.0,1.0,0.0,0.0
388,['Syria'],0.0,0.787,0.213,0.2263
390,,0.394,0.606,0.0,-0.3818
393,,0.0,0.87,0.13,0.2023
394,,0.0,1.0,0.0,0.0
397,,0.267,0.556,0.178,-0.2023
399,,0.0,0.9,0.1,0.0572
400,['New Hampshire'],0.0,1.0,0.0,0.0
